Finding #,Severity,Title,Status,Fix Summary,Commit(s),Notes
#1,Critical,recordStakeTime post-snapshot drain,Fixed,"Added require(!epochSnapshotted[epochId]) guard; recordStakeTime() subsequently removed in full StakingVault refactor","303cd2f, 6a3dda8",
#2,Critical,O(V×C) gas ceiling in finalizeEpoch,Fixed,"finalizeEpoch paginated; lazy autoFinalizeEpochs() added (capped at AUTO_FINALIZE_MAX_EPOCHS=10) triggered by partner activity","7c13690, 1acd719",
#3,Critical,Flash loan cumS inflation via balanceOf scanning,Fixed,"cumS now grows exclusively through buy() and distributeToCustomer(). All balanceOf scanning removed. recoverToken() added to PartnerVault with PSRE rescue capped to surplus above ecosystemBalance","6a3dda8, 79bbaa8",
#4,High,createVault sandwich attack (USDC→PSRE swap),Mitigated,"Fee tiers whitelisted to Uniswap standard tiers [100/500/3000/10000]. minPsreOut enforced as configurable % floor of usdcAmountIn. No TWAP oracle added — see Notes",d2d04ad,"TWAP oracle evaluated and deferred: fee whitelist + output floor blocks the attack vector consistent with standard Uniswap periphery practice. Happy to discuss if team disagrees."
#5,High,Cross-epoch accStakeTime contamination,Fixed,"Full StakingVault refactor. Synthetix-style epoch-aware checkpointing. accStakeTime removed. Per-epoch epochTotalPSREStaked/epochTotalLPStaked snapshots taken at finalization","6a3dda8, 0859369",
#6,High,Fee tier bypass in createVault,Fixed,Same fix as #4 — fee tier whitelist enforced,d2d04ad,
#7,Medium,E_scarcity scaling drift,Fixed,Corrected E_scarcity scaling in RewardEngine; epoch-level computation uses two-pass approach (see also #19),"7c13690, d2d04ad",
#8,Medium,Stale partnerOf mapping,Fixed,Removed cached partnerOf dependency. All partner lookups now call vault.owner() directly,44f17d8,
#9,Medium,StakingVault reward attribution error,Fixed,Resolved by StakingVault refactor (see #5),"6a3dda8, 0859369",
#10,Medium,reclaimUnclaimed dead path,Fixed,Replaced with reclaimFromCV() on PartnerVault — correctly reclaims unclaimed customer balances,44f17d8,
#11,Medium,CustomerVault deregistration not reflected in RewardEngine,Fixed,deregisterCustomerVault() now removes CV from RewardEngine state,7c13690,
#12,Medium,Vault decommission state inconsistency,Fixed,"decommissionVault() updates all factory state. setMaxPartners() now requires _max >= activeVaultCount","7c13690, c538bc9",
#13,Medium,LP 1:1 staking weight vs PSRE (spec decision),Fixed,"Resolved by separating LP and PSRE into two independent sub-pools within the 30% staker allocation. Default 50/50 split governance-adjustable via setSplit(). No cross-asset comparison.",6a3dda8,
#14,Medium,transferOut callable from CustomerVault context,Fixed,transferOut() now reverts if msg.sender is a registered CustomerVault,44f17d8,
#15,Medium,Unclaimed reward loss on stake change,Fixed,"Resolved by StakingVault refactor. _checkpoint() called before every stake/unstake; v3 settles all finalized epochs into pendingRewards before balance changes","6a3dda8, 0859369",
#16,Low,Ghost emission while PSRE paused,Fixed,Added require(!psre.paused()) check at start of finalization,303cd2f,
#17,Low,EMA window includes current epoch (sumR),Mitigated,"Two-pass approach implemented: sumR computed over last N completed epochs before the loop, then emission curve applied using pre-computed value","d2d04ad, 7c13690","If team has remaining concerns beyond window bias, please share specifically and we will address."
#18,Low,Claims not gated by whenNotPaused,Fixed,whenNotPaused added to all claim functions,303cd2f,
#19,Low,Two-pass EMA (sumR computed in-loop),Fixed,Same fix as #17 — two-pass EMA implemented,d2d04ad,
#20,Low,accStakeTime reset to 0 instead of decrement,Fixed,"Changed to accStakeTime -= stakeTime; subsequently removed entirely in StakingVault v3 refactor","303cd2f, 6a3dda8",
#21,Medium,qualified flag stale after epoch transition,Fixed,qualified check now delegates to RewardEngine at claim time — no cached flag,44f17d8,
#22,Informational,Governance queue guard missing,Fixed,Minimum timelock enforcement added on governance queue operations,7c13690,
Post-Interim A,Critical (self-identified),PSRE epoch mint-cap DoS on batch finalization,Fixed,"Added mintForEpoch(address to, uint256 amount, uint256 historicalEpochId) to PSRE.sol. RewardEngine calls mintForEpoch() charging each epoch's mint against its own cap — prevents ""PSRE: epoch mint cap exceeded"" revert during batch finalization",c538bc9,
Post-Interim B,Critical (self-identified),StakingVault ClaimStake Paradox — passive stakers receive 0,Fixed,"Full StakingVault v3 rewrite. _settleFinishedEpochs(user) called before every stake/unstake/claim. pendingRewards[user] accumulates across finalized epochs. claimAll() and claimStake(epochId) pay from pendingRewards. MAX_SETTLE_EPOCHS=52. New staker cursor initializes to currentEpochId()","0859369, 601d0a0",
Post-Interim C,Medium (self-identified),Zero-staker epoch pool permanently locked in StakingVault,Fixed,"(1) distributeStakerRewards() returns early without pulling tokens when both staker pools are empty — pool stays in RewardEngine. (2) sweepUnclaimedPool(epochId, to) (onlyOwner) added for governance recovery of sub-pool where rewardPerToken==0",601d0a0,
